CRO;Regional;Nama Kebun;Luas
CRO 3;Riau 2;Andika Permata Sawit Lestari;423,00
CRO 3;Riau 2;Berlian Agro Plantation;701,30
CRO 3;Riau 2;CV Sepakat Bersama Ali;326,40
CRO 3;Riau 2;Darmali Jaya Lestari;8,00
CRO 3;Riau 2;Duta Mas Makmur Perkasa;1.458,70
CRO 3;Riau 2;Hendri Padang;749,60
CRO 3;Riau 2;Indograha Makmur Sentosa;0,00
CRO 3;Riau 2;Marita Makmur Jaya;33,39
CRO 3;Riau 2;Murini Sam Sam;7,00
CRO 3;Riau 2;Priatama Riau;83,00
CRO 3;Riau 2;Sinar Inti Sawit;732,69
CRO 3;Riau 2;Sinar Sawit Sejahtera;0,00
CRO 3;Riau 2;Surya Dumai Agrindo;94,00
CRO 3;Riau 2;Apsl Rayon 1;3.663,17
CRO 3;Riau 2;Apsl Rayon 2 (Kelompok Tani Nelayan Andalan);0,00
CRO 3;Riau 2;Apsl Rayon 3 ( Poktan Maju Bersama);2.855,80
CRO 3;Riau 2;Bukit Gajah Putih;143,22
CRO 3;Riau 2;Cibaliung Tunggal Plantation;315,39
CRO 3;Riau 2;CV Sianipar Putra Mandiri;39,04
CRO 3;Riau 2;Gunung Mas Raya;1.802,71
CRO 3;Riau 2;Jaya Gemilang Sukses;13,68
CRO 3;Riau 2;Kelompok Tani Karya Mandiri (PT SPA);200,00
CRO 3;Riau 2;Lahan Tani Sakti;481,20
CRO 3;Riau 2;Rama Salomo (Kebun Hendri Sianipar);50,74
CRO 3;Riau 2;Rama Salomo Tanjung Medan (Michael Chandra Sianipar);602,31
CRO 3;Riau 2;Riau Bumi Bina Makmur (Lokasi 1);1.988,00
CRO 3;Riau 2;Salim Ivomas Pratama/Salim;806,56
CRO 3;Riau 2;Supra Matra Abadi (Riau);765,60
CRO 3;Riau 2;Tunggal Mitra Plantation/Minamas;0,00
CRO 3;Riau 2;Agro Mitra Rokan;1.850,00
CRO 3;Riau 2;Air Jernih;27,84
CRO 3;Riau 2;Arindo Trisejahtera;12,00
CRO 3;Riau 2;Berkat Satu;1.029,33
CRO 3;Riau 2;Budi Murni Pancajaya;50,14
CRO 3;Riau 2;Citra Sardela Abadi;172,87
CRO 3;Riau 2;Ekadura Indonesia;134,70
CRO 3;Riau 2;Gerbang Sawit Indah;27,01
CRO 3;Riau 2;Graha Permata Hijau;162,09
CRO 3;Riau 2;Hotman Silalahi/Sipangkar (Perorangan);242,00
CRO 3;Riau 2;Hutahean;786,38
CRO 3;Riau 2;Inti Kamparindo Sejahtera;54,00
CRO 3;Riau 2;Inti Kamparindo Sejahtera 2;0,00
CRO 3;Riau 2;Masuba Citra Mandiri;3,00
CRO 3;Riau 2;Padasa Enam Utama;80,00
CRO 3;Riau 2;Peputra Maha Raya;180,00
CRO 3;Riau 2;Perawang Sukses Perkasa Industri;6.747,00
CRO 3;Riau 2;Sarana Inti Pratama;0,00
CRO 3;Riau 2;Sawit Asahan Indah;4,21
CRO 3;Riau 2;Sawita Balm;0,00
CRO 3;Riau 2;Simas Sawit Aliantan;104,65
CRO 3;Riau 2;Sitapongan Lestari;44,50
CRO 3;Riau 2;Sugih Indah Sejati;53,00
CRO 3;Riau 2;Sumber Alam Makmur Sentosa;175,00
CRO 3;Riau 2;Sumber Jaya Indahnusa Coy;89,51
CRO 3;Riau 2;Telangka Indo Permai;395,12
CRO 3;Riau 2;Agro Wisata Industri;200,77
CRO 3;Riau 2;Aneka Inti Persada;33,00
CRO 3;Riau 2;Anugerah Tuah Mulya Perkasa;1.633,37
CRO 3;Riau 2;Armada Putra;74,00
CRO 3;Riau 2;Berlian Mitra Inti;246,92
CRO 3;Riau 2;Bina Pitri Jaya;65,00
CRO 3;Riau 2;Budi Tani Kembang Jaya;178,70
CRO 3;Riau 2;Cahaya Indah Sangsurya;6,53
CRO 3;Riau 2;Ciliandra Perkasa;75,00
CRO 3;Riau 2;CV Alam Riau Bertuah;22,00
CRO 3;Riau 2;CV Kamparindo (CV inti sawit Perkasa);596,20
CRO 3;Riau 2;CV Makmur Jaya Sentosa;823,35
CRO 3;Riau 2;Dumai Tani Unggul;329,34
CRO 3;Riau 2;Ganda Buanindo;75,00
CRO 3;Riau 2;Guna Usagri Pratama - Yingerh Gunawan;675,83
CRO 3;Riau 2;Ivo Mas Tunggal;15,10
CRO 3;Riau 2;Kelompok Tani Kepau Jaya Sukses Lestari;774,00
CRO 3;Riau 2;Muriniwood Indah Industry;265,00
CRO 3;Riau 2;Mutiara Naga Indonesia;0,00
CRO 3;Riau 2;Pelintung Jaya Bersama;467,81
CRO 3;Riau 2;Ramajaya Pramukti;736,06
CRO 3;Riau 2;Riau Jaya Utama;73,00
CRO 3;Riau 2;Sinar Riau Palm Oil;1.498,21
CRO 3;Riau 2;Subur Arum Makmur;24,00
CRO 3;Riau 2;Surya Intisari Raya;65,00
CRO 3;Riau 2;Tasma Puja Kampar;32,38
;;;39.754,42
;;;
